Membership No  Date Joined  Active  
    56971      2018-7-2     no    
    20735      2020-11-10   no    
    63236      2018-9-9     no    
    41532      2019-9-20    no    
    28525      2018-11-2    no    
    74535      2016-1-5     no    
    55886      2020-9-24    no    
    45041      2019-12-24   no    
    55607      2016-1-8     no    
    85569      2020-10-15   no    
    51475      2017-2-19    no    
    90142      2017-9-7     no    
    89772      2015-10-2    no    
    31803      2017-8-14    no    
    13668      2020-3-4     no    
    77521      2015-10-10   no    
