Membership No  Date Joined  Active  
    41428      2015-1-8     no    
    43838      2019-5-5     no    
    28253      2018-9-5     no    
    32249      2016-6-12    no    
    59089      2016-1-21    no    
    26811      2017-9-6     no    
    30124      2017-7-21    no    
    97495      2016-2-9     no    
    85662      2015-2-22    no    
    91637      2017-12-11   no    
    71868      2017-7-4     no    
    21233      2017-7-1     no    
    38726      2016-4-23    no    
    23170      2017-2-17    no    
    53280      2015-2-15    no    
